candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",bald,"[""eagle"", ""ash""]",0,2,0,5,1,0,swow,0
"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",plush,"[""teepee"", ""ash""]",0,2,1,5,1,0,swow,1
"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",west,"[""eagle"", ""teepee""]",67,2,2,5,1,0,swow,2
"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",contractor,"[""factory"", ""metal""]",67,2,3,5,1,0,swow,3
"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",forest,"[""eagle"", ""teepee""]",67,2,4,5,1,0,swow,4
"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",diagonal,"[""card"", ""cut"", ""postman""]",50,3,6,6,1,0,swow,5
"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",game,"[""card"", ""spades""]",67,2,8,6,1,0,swow,6
"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",freshman,"[""school"", ""outfit""]",67,2,10,6,1,0,swow,7
"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",graze,"[""field"", ""yak"", ""grass""]",0,3,12,6,1,0,swow,8
"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",brown,"[""disc"", ""yak""]",0,2,13,6,1,0,swow,9
"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",milk,"[""spy"", ""yak""]",67,2,14,6,1,0,swow,10
"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",drive,"[""disc"", ""spy""]",100,2,15,6,1,0,swow,11
"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",charge,"[""disc"", ""yak""]",100,2,16,6,1,0,swow,12
"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",blade,"[""disc"", ""field"", ""grass""]",80,3,17,6,0.83,0.24,swow,13
"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",circular,"[""drugs"", ""film"", ""venus""]",50,3,18,5,1,0,swow,14
"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",depression,"[""drugs"", ""puppy""]",100,2,19,5,1,0,swow,15
"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",guilty,"[""drugs"", ""puppy""]",67,2,22,5,1,0,swow,16
"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",yellow,"[""film"", ""venus""]",0,2,23,5,1,0,swow,17
"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",pinnacle,"[""cone"", ""peak""]",67,2,25,5,1,0,swow,18
"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",claim,"[""thief"", ""bush"", ""peak""]",50,3,26,5,1,0,swow,19
"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",barrier,"[""cone"", ""peak""]",67,2,27,5,1,0,swow,20
"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",pride,"[""bush"", ""peak""]",0,2,28,5,1,0,swow,21
"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",danger,"[""thief"", ""cone"", ""peak""]",50,3,29,5,1,0,swow,22
"[""food"", ""prune"", ""art"", ""water"", ""newt""]",rainforest,"[""prune"", ""newt""]",67,2,30,5,1,0,swow,23
"[""food"", ""prune"", ""art"", ""water"", ""newt""]",fresh,"[""food"", ""water""]",67,2,31,5,1,0,swow,24
"[""food"", ""prune"", ""art"", ""water"", ""newt""]",yikes,"[""art"", ""newt""]",67,2,32,5,1,0,swow,25
"[""food"", ""prune"", ""art"", ""water"", ""newt""]",waste,"[""prune"", ""water""]",67,2,35,5,1,0,swow,26
