HITId,candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",bald,"[""eagle"", ""ash""]",0,2,0,5,1.0,0.0,swow,0
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",plush,"[""teepee"", ""ash""]",0,2,1,5,1.0,0.0,swow,1
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",west,"[""eagle"", ""teepee""]",67,2,2,5,1.0,0.0,swow,2
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",contractor,"[""factory"", ""metal""]",67,2,3,5,1.0,0.0,swow,3
3DFYDSXB2WM39VQWWITAIB3KKUSJU0,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",forest,"[""eagle"", ""teepee""]",67,2,4,5,1.0,0.0,swow,4
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",diagonal,"[""card"", ""cut"", ""postman""]",50,3,6,6,1.0,0.0,swow,5
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",game,"[""card"", ""spades""]",67,2,8,6,1.0,0.0,swow,6
3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",freshman,"[""school"", ""outfit""]",67,2,10,6,1.0,0.0,swow,7
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",graze,"[""field"", ""yak"", ""grass""]",0,3,12,6,1.0,0.0,swow,8
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",brown,"[""disc"", ""yak""]",0,2,13,6,1.0,0.0,swow,9
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",milk,"[""spy"", ""yak""]",67,2,14,6,1.0,0.0,swow,10
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",drive,"[""disc"", ""spy""]",100,2,15,6,1.0,0.0,swow,11
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",charge,"[""disc"", ""yak""]",100,2,16,6,1.0,0.0,swow,12
360ZO6N6J15VQB8E14BB278NB3DM9G,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",blade,"[""disc"", ""field"", ""grass""]",80,3,17,6,0.83,0.24,swow,13
3MGHRFQY2LBDOY9FKBGT3RU1H9XY06,"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",circular,"[""drugs"", ""film"", ""venus""]",50,3,18,5,1.0,0.0,swow,14
3MGHRFQY2LBDOY9FKBGT3RU1H9XY06,"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",depression,"[""drugs"", ""puppy""]",100,2,19,5,1.0,0.0,swow,15
3MGHRFQY2LBDOY9FKBGT3RU1H9XY06,"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",guilty,"[""drugs"", ""puppy""]",67,2,22,5,1.0,0.0,swow,16
3MGHRFQY2LBDOY9FKBGT3RU1H9XY06,"[""drugs"", ""film"", ""puppy"", ""needle"", ""venus""]",yellow,"[""film"", ""venus""]",0,2,23,5,1.0,0.0,swow,17
3I4E7AFQ2KLO9IB7WD30DFHI1GLJT9,"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",pinnacle,"[""cone"", ""peak""]",67,2,25,5,1.0,0.0,swow,18
3I4E7AFQ2KLO9IB7WD30DFHI1GLJT9,"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",claim,"[""thief"", ""bush"", ""peak""]",50,3,26,5,1.0,0.0,swow,19
3I4E7AFQ2KLO9IB7WD30DFHI1GLJT9,"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",barrier,"[""cone"", ""peak""]",67,2,27,5,1.0,0.0,swow,20
3I4E7AFQ2KLO9IB7WD30DFHI1GLJT9,"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",pride,"[""bush"", ""peak""]",0,2,28,5,1.0,0.0,swow,21
3I4E7AFQ2KLO9IB7WD30DFHI1GLJT9,"[""thief"", ""cone"", ""bush"", ""peak"", ""cheese""]",danger,"[""thief"", ""cone"", ""peak""]",50,3,29,5,1.0,0.0,swow,22
