ID,cue,associations,num_associations,cue_weight,associations_mean_weight,candidates,candidates_connectivity_data,candidates_connectivity_score,solvers_jaccard_mean,solvers_jaccard_std
1765,load,"[""truck"", ""carry""]",2,98,20.0,"[""icing"", ""nail polish"", ""truck"", ""fox"", ""artist"", ""carry""]","[{""alternative_cue"": ""transport"", ""alternative_cue_novel_associations"": [""carry"", ""truck""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""haul"", ""alternative_cue_novel_associations"": [""carry"", ""truck""], ""num_alternative_cue_novel_associations"": 2}]",1,1.0,0.0
1767,horn,"[""car"", ""rhino""]",2,50,14.5,"[""twins"", ""ice"", ""rhino"", ""car"", ""seaweed"", ""loo""]","[{""alternative_cue"": ""defrost"", ""alternative_cue_novel_associations"": [""ice"", ""car""], ""num_alternative_cue_novel_associations"": 2}]",1,1.0,0.0
132,seller,"[""buyer"", ""money"", ""merchant""]",3,82,26.666666666666668,"[""brook"", ""makeup"", ""buyer"", ""money"", ""merchant""]","[{""alternative_cue"": ""customer"", ""alternative_cue_novel_associations"": [""money"", ""buyer""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""consumer"", ""alternative_cue_novel_associations"": [""money"", ""buyer""], ""num_alternative_cue_novel_associations"": 2}]",1,0.8333333333333334,0.24
1279,band aid,"[""cut"", ""blood"", ""wound"", ""plaster""]",4,64,20.75,"[""blood"", ""plaster"", ""wound"", ""cut"", ""whip"", ""icy""]","[{""alternative_cue"": ""band-aid"", ""alternative_cue_novel_associations"": [""cut"", ""blood"", ""wound"", ""plaster""], ""num_alternative_cue_novel_associations"": 4}, {""alternative_cue"": ""scab"", ""alternative_cue_novel_associations"": [""cut"", ""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""bleeding"", ""alternative_cue_novel_associations"": [""cut"", ""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""bleed"", ""alternative_cue_novel_associations"": [""cut"", ""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""bandage"", ""alternative_cue_novel_associations"": [""cut"", ""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""injury"", ""alternative_cue_novel_associations"": [""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""scar"", ""alternative_cue_novel_associations"": [""cut"", ""wound""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""stab"", ""alternative_cue_novel_associations"": [""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""surgery"", ""alternative_cue_novel_associations"": [""cut"", ""blood""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""wound"", ""alternative_cue_novel_associations"": [""cut"", ""blood""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""gauze"", ""alternative_cue_novel_associations"": [""blood"", ""wound""], ""num_alternative_cue_novel_associations"": 2}]",5,0.8666666666666667,0.19
118,sliding,"[""slipping"", ""snow"", ""ice""]",3,63,19.666666666666668,"[""lab"", ""dalmatian"", ""snow"", ""slipping"", ""ice""]","[{""alternative_cue"": ""frost"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""south pole"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""melt"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""igloo"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""frozen"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""frosty"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""north pole"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""icicle"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""hail"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""arctic"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""cold"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""thaw"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""sleet"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""antarctic"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""snowball"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""snowman"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""polar bear"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""frosted"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""freezing"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""melting"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""slushy"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""colder"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""alaska"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""defrost"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""melted"", ""alternative_cue_novel_associations"": [""snow"", ""ice""], ""num_alternative_cue_novel_associations"": 2}]",1,1.0,0.0
327,institution,"[""school"", ""hospital"", ""building""]",3,67,19.33333333333333,"[""school"", ""hospital"", ""blender"", ""bun"", ""building""]","[{""alternative_cue"": ""facility"", ""alternative_cue_novel_associations"": [""building"", ""school""], ""num_alternative_cue_novel_associations"": 2}]",1,1.0,0.0
986,fruit,"[""apple"", ""banana"", ""orange"", ""vegetable""]",4,88,24.75,"[""vegetable"", ""bass"", ""apple"", ""orange"", ""banana"", ""jack""]","[{""alternative_cue"": ""peel"", ""alternative_cue_novel_associations"": [""apple"", ""banana"", ""orange""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""peeler"", ""alternative_cue_novel_associations"": [""apple"", ""vegetable"", ""orange""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""fruits"", ""alternative_cue_novel_associations"": [""apple"", ""banana"", ""orange""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""juice"", ""alternative_cue_novel_associations"": [""apple"", ""orange""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""carrots"", ""alternative_cue_novel_associations"": [""vegetable"", ""orange""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""juicy"", ""alternative_cue_novel_associations"": [""apple"", ""orange""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""carrot"", ""alternative_cue_novel_associations"": [""vegetable"", ""orange""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""fruity"", ""alternative_cue_novel_associations"": [""apple"", ""orange""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""ripe"", ""alternative_cue_novel_associations"": [""apple"", ""banana""], ""num_alternative_cue_novel_associations"": 2}]",5,1.0,0.0
1516,auburn,"[""hair"", ""red"", ""color""]",3,118,34.666666666666664,"[""website"", ""candy"", ""color"", ""hair"", ""red"", ""digit""]","[{""alternative_cue"": ""dye"", ""alternative_cue_novel_associations"": [""color"", ""red"", ""hair""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""reddish"", ""alternative_cue_novel_associations"": [""color"", ""red"", ""hair""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""licorice"", ""alternative_cue_novel_associations"": [""candy"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""magenta"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""gray"", ""alternative_cue_novel_associations"": [""color"", ""hair""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""burgundy"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""ginger"", ""alternative_cue_novel_associations"": [""red"", ""hair""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""bandanna"", ""alternative_cue_novel_associations"": [""red"", ""hair""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""ribbon"", ""alternative_cue_novel_associations"": [""red"", ""hair""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""maroon"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""bandana"", ""alternative_cue_novel_associations"": [""red"", ""hair""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""brown"", ""alternative_cue_novel_associations"": [""color"", ""hair""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""pink"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""colour"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""blue"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""nail polish"", ""alternative_cue_novel_associations"": [""color"", ""red""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""dark brown"", ""alternative_cue_novel_associations"": [""color"", ""hair""], ""num_alternative_cue_novel_associations"": 2}]",5,1.0,0.0
945,india,"[""country"", ""curry""]",2,54,22.5,"[""pound"", ""curry"", ""country"", ""head"", ""upstairs""]",[],0,1.0,0.0
454,message,"[""text"", ""letter"", ""email""]",3,82,27.33333333333333,"[""pond"", ""text"", ""letter"", ""shuttle"", ""email""]","[{""alternative_cue"": ""reply"", ""alternative_cue_novel_associations"": [""email"", ""text"", ""letter""], ""num_alternative_cue_novel_associations"": 3}, {""alternative_cue"": ""sending"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""send"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""mailbox"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""notification"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""font"", ""alternative_cue_novel_associations"": [""text"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""sender"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""correspondence"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}, {""alternative_cue"": ""mail"", ""alternative_cue_novel_associations"": [""email"", ""letter""], ""num_alternative_cue_novel_associations"": 2}]",3,1.0,0.0
