candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,ID,clip_vit32_predictions,annotations_label
"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",thorn,"[""splinter"", ""rose""]",67,2,3,12,1.0,0.0,0,"[""rose"", ""hanger""]","{""rose"": ""Non Visual, Concept Related"", ""splinter"": ""Visually Non-Salient""}"
"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",dissolve,"[""tea"", ""marshmallow"", ""heroin""]",100,3,5,12,1.0,0.0,1,"[""heroin"", ""relic"", ""rose""]","{""heroin"": ""Non Visual, Concept Related"", ""marshmallow"": ""Non Visual, Concept Related"", ""tea"": ""Non Visual, Concept Related""}"
"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",lines,"[""dancing"", ""asylum""]",100,2,8,10,1.0,0.0,3,"[""column"", ""soap""]","{""asylum"": ""Visually Non-Salient"", ""dancing"": ""Visually Non-Salient""}"
"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",savory,"[""bread"", ""dip""]",0,2,10,10,1.0,0.0,4,"[""bread"", ""dip""]","{""bread"": ""Non Visual, Concept Related"", ""dip"": ""Visually Non-Salient""}"
"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",multiple,"[""handyman"", ""zoo"", ""barn""]",80,3,14,10,1.0,0.0,5,"[""rope"", ""barn"", ""mermaid""]","{""zoo"": ""Counting"", ""handyman"": ""Counting"", ""barn"": ""Counting""}"
"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",capture,"[""zoo"", ""rope""]",67,2,15,10,1.0,0.0,6,"[""mermaid"", ""zoo""]","{""rope"": ""Non Visual, Concept Related"", ""zoo"": ""Non Visual, Concept Related""}"
"[""whirlwind"", ""monk"", ""handyman"", ""ski"", ""zoo"", ""rope"", ""barn"", ""mermaid"", ""throat"", ""saw""]",ocean,"[""whirlwind"", ""mermaid""]",67,2,17,10,1.0,0.0,7,"[""mermaid"", ""rope""]","{""whirlwind"": ""Visually Non-Salient"", ""mermaid"": ""Visually Salient Object""}"
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",important,"[""godfather"", ""reporter""]",100,2,18,12,1.0,0.0,8,"[""blender"", ""ark""]","{""reporter"": ""Visually Non-Salient"", ""godfather"": ""Visually Non-Salient""}"
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",camera,"[""camera"", ""reporter""]",67,2,20,12,1.0,0.0,9,"[""camera"", ""reporter""]","{""camera"": ""Visually Salient Object"", ""reporter"": ""Visually Salient Object""}"
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",water,"[""flood"", ""island"", ""shower""]",50,3,21,12,1.0,0.0,10,"[""flood"", ""island"", ""drool""]","{""flood"": ""Visually Salient Object"", ""island"": ""Visually Salient Object"", ""shower"": ""Non Visual, Concept Related""}"
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",lifejacket,"[""flood"", ""island""]",100,2,22,12,1.0,0.0,11,"[""flood"", ""pancreas""]","{""flood"": ""Non Visual, Concept Related"", ""island"": ""Non Visual, Concept Related""}"
"[""flood"", ""pancreas"", ""island"", ""godfather"", ""shower"", ""camera"", ""darts"", ""reporter"", ""blender"", ""airplane"", ""drool"", ""ark""]",mob,"[""godfather"", ""reporter""]",0,2,23,12,1.0,0.0,12,"[""reporter"", ""flood""]","{""godfather"": ""Non Visual, Concept Related"", ""reporter"": ""Visually Non-Salient""}"
