ID,cue,associations,num_associations,cue_weight,associations_mean_weight,candidates,candidates_connectivity_score,solvers_jaccard_mean,solvers_jaccard_std
1765,load,"[""truck"", ""carry""]",2,98,20,"[""icing"", ""nail polish"", ""truck"", ""fox"", ""artist"", ""carry""]",1,1,0
1767,horn,"[""car"", ""rhino""]",2,50,14.5,"[""twins"", ""ice"", ""rhino"", ""car"", ""seaweed"", ""loo""]",1,1,0
132,seller,"[""buyer"", ""money"", ""merchant""]",3,82,26.66666667,"[""brook"", ""makeup"", ""buyer"", ""money"", ""merchant""]",1,0.833333333,0.24
1279,band aid,"[""cut"", ""blood"", ""wound"", ""plaster""]",4,64,20.75,"[""blood"", ""plaster"", ""wound"", ""cut"", ""whip"", ""icy""]",5,0.866666667,0.19
118,sliding,"[""slipping"", ""snow"", ""ice""]",3,63,19.66666667,"[""lab"", ""dalmatian"", ""snow"", ""slipping"", ""ice""]",1,1,0
327,institution,"[""school"", ""hospital"", ""building""]",3,67,19.33333333,"[""school"", ""hospital"", ""blender"", ""bun"", ""building""]",1,1,0
986,fruit,"[""apple"", ""banana"", ""orange"", ""vegetable""]",4,88,24.75,"[""vegetable"", ""bass"", ""apple"", ""orange"", ""banana"", ""jack""]",5,1,0
1516,auburn,"[""hair"", ""red"", ""color""]",3,118,34.66666667,"[""website"", ""candy"", ""color"", ""hair"", ""red"", ""digit""]",5,1,0
945,india,"[""country"", ""curry""]",2,54,22.5,"[""pound"", ""curry"", ""country"", ""head"", ""upstairs""]",0,1,0
454,message,"[""text"", ""letter"", ""email""]",3,82,27.33333333,"[""pond"", ""text"", ""letter"", ""shuttle"", ""email""]",3,1,0
1206,concert,"[""music"", ""band"", ""hall"", ""orchestra""]",4,97,26.75,"[""orchestra"", ""karate"", ""liner"", ""music"", ""band"", ""hall""]",3,1,0
412,lawn mower,"[""grass"", ""garden"", ""green""]",3,112,35.33333333,"[""green"", ""grass"", ""slate"", ""graph"", ""garden""]",4,0.833333333,0.24
176,surgeon,"[""doctor"", ""scalpel"", ""knife""]",3,98,32.66666667,"[""shake"", ""scalpel"", ""knife"", ""doctor"", ""lake""]",1,1,0
1666,golfer,"[""ball"", ""green""]",2,56,21.5,"[""meth"", ""wink"", ""toothpaste"", ""light"", ""green"", ""ball""]",4,1,0
616,daffodil,"[""flower"", ""yellow""]",2,167,63.5,"[""boxing"", ""yellow"", ""ore"", ""telescope"", ""flower""]",1,1,0
358,birth control,"[""pill"", ""condom"", ""baby""]",3,109,35.33333333,"[""truck"", ""oil"", ""pill"", ""condom"", ""baby""]",4,1,0
1098,nickel,"[""dime"", ""metal"", ""money"", ""coin""]",4,121,36.75,"[""money"", ""swan"", ""dime"", ""metal"", ""coin"", ""ostrich""]",3,1,0
